../Format Etudiant Public/Inst3.txt	0.0005939	12
../Format Etudiant Public/Inst4.txt	0.0009124	24
../Format Etudiant Public/Inst5.txt	0.0009506	36
../Format Etudiant Public/Inst6.txt	0.0009419	24
../Format Etudiant Public/Inst7.txt	0.001149	36
../Format Etudiant Public/Inst8.txt	0.0012909	60
../Format Etudiant Public/Inst9.txt	0.0013078	54
../Format Etudiant Public/Inst10.txt	0.0012301	42
../Format Etudiant Public/Inst11.txt	0.0013466	72
../Format Etudiant Public/Inst12.txt	0.0013795	210
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0070132	24
../Format Etudiant Public/Inst2.txt	0.0005577	12
../Format Etudiant Public/Inst3.txt	0.0005829	12
../Format Etudiant Public/Inst4.txt	0.0008675	36
../Format Etudiant Public/Inst5.txt	0.0009005	24
../Format Etudiant Public/Inst6.txt	0.0010045	24
../Format Etudiant Public/Inst7.txt	0.0012129	36
../Format Etudiant Public/Inst8.txt	0.0015115	54
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0068215	12
../Format Etudiant Public/Inst2.txt	0.0006502	12
../Format Etudiant Public/Inst3.txt	0.0006319	12
../Format Etudiant Public/Inst4.txt	0.0009636	18
../Format Etudiant Public/Inst5.txt	0.00088	24
../Format Etudiant Public/Inst6.txt	0.0009478	24
../Format Etudiant Public/Inst7.txt	0.0010868	48
../Format Etudiant Public/Inst8.txt	0.0012911	60
../Format Etudiant Public/Inst9.txt	0.001283	66
../Format Etudiant Public/Inst10.txt	0.0013615	48
../Format Etudiant Public/Inst11.txt	0.0013986	66
../Format Etudiant Public/Inst12.txt	0.0015879	190
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0069203	24
../Format Etudiant Public/Inst2.txt	0.000565	12
../Format Etudiant Public/Inst3.txt	0.000671	12
../Format Etudiant Public/Inst4.txt	0.0009103	24
../Format Etudiant Public/Inst5.txt	0.000974	30
../Format Etudiant Public/Inst6.txt	0.0008158	24
../Format Etudiant Public/Inst7.txt	0.0010985	42
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0069717	24
../Format Etudiant Public/Inst2.txt	0.0007659	12
../Format Etudiant Public/Inst3.txt	0.0006217	12
../Format Etudiant Public/Inst4.txt	0.0008961	36
../Format Etudiant Public/Inst5.txt	0.0010364	24
../Format Etudiant Public/Inst6.txt	0.0009516	24
../Format Etudiant Public/Inst7.txt	0.0011411	30
../Format Etudiant Public/Inst8.txt	0.0015447	60
../Format Etudiant Public/Inst9.txt	0.0012303	54
../Format Etudiant Public/Inst10.txt	0.0013505	48
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.006623	12
../Format Etudiant Public/Inst2.txt	0.000578	12
../Format Etudiant Public/Inst3.txt	0.0006993	12
../Format Etudiant Public/Inst4.txt	0.0008614	24
../Format Etudiant Public/Inst5.txt	0.0012153	24
../Format Etudiant Public/Inst6.txt	0.0008956	24
../Format Etudiant Public/Inst7.txt	0.0012452	42
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
